Track Number,Popularity,Danceability
1,58,0.64
1,1,0.599
1,48,0.698
1,78,0.674
1,0,0.704
1,60,0.613
1,0,0.693
1,48,0.749
1,49,0.529
12,19,0.526
15,5,0.676
1,76,0.807
1,77,0.741
1,69,0.611
1,2,0.743
15,83,0.468
2,91,0.76
3,87,0.511
4,37,0.786
8,0,0.651
1,79,0.601
11,72,0.693
3,70,0.74
15,71,0.403
1,0,0.787
2,49,0.714
8,0,0.536
1,0,0.764
2,60,0.91
2,68,0.475
5,67,0.853
4,90,0.652
5,83,0.383
1,52,0.552
8,68,0.652
1,18,0.694
1,84,0.704
1,40,0.472
3,75,0.501
1,0,0.383
1,53,0.603
1,60,0.775
1,47,0.576
1,48,0.708
4,63,0.538
6,40,0.577
1,0,0.753
6,81,0.596
1,0,0.498
1,78,0.815
5,66,0.647
13,77,0.477
3,32,0.858
9,61,0.395
17,61,0.686
4,63,0.603
12,87,0.572
9,76,0.559
1,5,0.785
1,25,0.68
6,74,0.575
1,63,0.739
1,78,0.752
6,0,0.359
27,0,0.259
16,70,0.68
1,80,0.795
2,50,0.465
1,0,0.572
1,63,0.706
12,38,0.427
1,0,0.585
1,0,0.539
1,71,0.442
1,0,0.792
1,0,0.759
5,78,0.494
1,75,0.901
1,61,0.662
1,75,0.588
1,68,0.701
6,69,0.736
10,80,0.699
1,4,0.719
1,79,0.781
1,14,0.642
23,7,0.659
19,14,0.594
5,80,0.602
1,86,0.687
1,56,0.74
1,0,0.738
1,0,0.607
4,72,0.666
3,87,0.834
1,75,0.638
1,0,0.673
1,68,0.552
1,60,0.659
1,70,0.503
3,50,0.565
1,0,0.828
1,54,0.75
11,52,0.594
1,78,0.56
1,5,0.559
1,47,0.765
9,79,0.835
1,81,0.553
5,88,0.754
1,60,0.607
4,85,0.579
1,22,0.7
1,42,0.658
4,63,0.746
1,71,0.506
1,50,0.61
1,0,0.63
22,39,0.613
1,72,0.688
1,84,0.596
5,30,0.798
9,25,0.611
14,34,0.597
7,24,0.625
3,37,0.552
1,60,0.675
5,23,0.713
1,63,0.627
7,65,0.535
10,29,0.518
1,49,0.831
11,48,0.357
11,47,0.709
1,0,0.631
1,0,0.81
2,0,0.603
1,56,0.516
1,68,0.69
2,0,0.841
31,38,0.734
4,0,0.709
1,0,0.622
1,76,0.622
5,86,0.854
2,78,0.548
2,0,0.821
1,48,0.831
1,49,0.519
1,75,0.747
3,64,0.564
1,52,0.742
2,48,0.672
1,55,0.643
1,73,0.737
1,56,0.679
1,57,0.656
1,66,0.755
15,33,0.254
1,56,0.647
1,77,0.601
1,0,0.854
1,27,0.748
1,0,0.625
1,66,0.623
1,0,0.622
1,0,0.708
1,0,0.62
17,80,0.664
9,85,0.68
8,81,0.75
10,84,0.697
6,87,0.585
1,0,0.639
1,1,0.703
9,46,0.574
1,36,0.772
1,60,0.636
1,91,0.351
1,67,0.697
3,0,0.55
1,15,0.75
6,48,0.583
1,0,0.351
1,62,0.752
15,0,0.621
14,77,0.71
1,71,0.596
33,51,0.744
1,0,0.46
3,69,0.745
1,0,0.671
1,47,0.317
1,89,0.791
7,82,0.816
5,0,0.522
19,0,0.692
14,0,0.656
1,0,0.722
1,0,0.449
1,0,0.709
5,37,0.699
8,76,0.614
2,0,0.687
4,81,0.673
4,34,0.649
10,0,0.689
27,0,0.655
1,65,0.584
3,55,0.533
1,0,0.726
1,29,0.377
1,70,0.609
1,0,0.687
10,37,0.235
1,68,0.685
1,42,0.722
1,68,0.661
1,56,0.72
4,84,0.74
1,73,0.755
1,54,0.445
1,0,0.74
1,0,0.856
1,23,0.642
7,83,0.681
4,67,0.59
4,0,0.329
4,82,0.329
6,61,0.45
1,0,0.847
1,59,0.827
3,0,0.589
4,0,0.628
1,61,0.725
1,0,0.556
1,35,0.849
1,0,0.778
1,77,0.778
1,76,0.708
14,73,0.735
2,64,0.541
1,0,0.379
1,11,0.922
2,87,0.698
1,81,0.626
1,34,0.711
1,0,0.443
12,47,0.723
10,55,0.78
11,54,0.743
1,37,0.727
1,59,0.633
9,74,0.707
1,53,0.693
7,4,0.56
1,55,0.745
1,0,0.83
1,30,0.54
1,65,0.624
1,0,0.497
9,36,0.811
8,53,0.56
1,0,0.748
1,83,0.753
1,0,0.558
1,77,0.653
4,0,0.536
14,0,0.699
1,0,0.672
1,0,0.705
1,76,0.637
4,83,0.765
1,0,0.699
2,30,0.459
1,59,0.382
1,78,0.704
1,0,0.593
5,76,0.748
3,81,0.589
1,0,0.752
2,78,0.727
5,35,0.757
2,43,0.312
1,35,0.503
1,45,0.546
8,75,0.684
4,87,0.714
7,76,0.284
8,74,0.67
1,0,0.722
1,70,0.526
2,41,0.587
13,12,0.691
25,36,0.428
1,74,0.587
10,8,0.418
2,26,0.701
1,1,0.613
1,47,0.874
17,0,0.607
1,71,0.529
6,0,0.709
11,14,0.382
1,74,0.653
14,80,0.496
1,76,0.684
1,0,0.863
13,73,0.552
1,53,0.456
1,55,0.61
4,0,0.658
5,0,0.75
6,0,0.766
8,0,0.8
1,0,0.613
12,0,0.719
12,0,0.558
2,0,0.705
1,66,0.845
1,35,0.512
9,0,0.562
1,0,0.755
14,0,0.598
3,0,0.598
1,87,0.681
2,0,0.795
1,75,0.468
14,0,0.775
2,0,0.796
3,0,0.659
3,62,0.672
1,60,0.53
1,66,0.658
13,52,0.608
4,14,0.468
1,61,0.417
1,68,0.284
2,59,0.808
1,0,0.472
1,0,0.638
1,81,0.724
1,0,0.715
14,0,0.673
1,66,0.628
1,0,0.678
8,57,0.671
2,0,0.678
4,0,0.734
1,0,0.603
18,39,0.678
1,31,0.641
2,51,0.458
4,79,0.491
1,75,0.586
1,10,0.42
7,47,0.716
6,83,0.662
5,59,0.489
2,0,0.622
13,78,0.513
6,0,0.659
1,0,0.381
1,0,0.849
1,51,0.701
13,0,0.771
1,0,0.704
1,0,0.48
1,73,0.901
1,60,0.548
3,62,0.483
2,79,0.573
2,80,0.731
1,0,0.895
6,74,0.712
6,0,0.612
5,0,0.616
53,30,0.865
9,0,0.673
1,69,0.677
3,47,0.551
2,0,0.607
1,0,0.618
53,2,0.521
1,14,0.577
5,56,0.762
14,2,0.319
3,61,0.661
1,0,0.517
1,0,0.659
1,34,0.406
1,0,0.732
1,79,0.664
1,0,0.653
1,79,0.259
13,0,0.515
2,63,0.689
12,48,0.597
1,20,0.77
1,0,0.365
1,67,0.703
9,38,0.658
1,57,0.897
15,6,0.336
1,35,0.637
1,67,0.837
1,0,0.494
1,0,0.744
19,3,0.698
6,77,0.643
1,83,0.52
5,72,0.543
6,53,0.515
2,0,0.648
1,58,0.386
1,1,0.662
1,1,0.768
1,0,0.598
4,61,0.577
4,0,0.631
2,0,0.483
14,0,0.586
1,63,0.653
1,62,0.867
3,0,0.617
4,53,0.5
1,70,0.683
3,0,0.758
1,52,0.492
2,76,0.504
1,0,0.607
3,29,0.7
2,44,0.707
1,0,0.733
3,0,0.672
2,33,0.88
2,50,0.629
7,37,0.704
5,51,0.413
1,38,0.565
2,65,0.624
1,31,0.676
1,1,0.565
1,0,0.716
2,0,0.718
3,0,0.754
1,61,0.619
7,69,0.636
1,0,0.607
1,80,0.6
7,85,0.833
1,64,0.747
10,0,0.605
10,89,0.605
3,14,0.779
